country,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10
Canada,-2.039643982007214,2.056893917084456,0.09934423103498319,0.10733700902357915,0.06535266073338972,0.030252740773541724,-0.28832642977263284,-1.0208108083996397e-05,2.8578822790901455e-05,-8.48338210089896e-17
Chile,-0.5598181470543135,-0.8991492496627133,0.6004545786510609,0.22730201548949014,-0.6579689442633809,0.2605114135258688,-0.13905422650374802,-1.796058884639336e-06,5.384873911803079e-07,2.7959376534467126e-16
China,0.010825536475393782,-0.8005688376193821,-2.1739410241266133,2.0091322139421,-0.14446799491928192,0.11227948435105477,-0.09514671374803467,4.1716654551661215e-07,6.059898503933239e-06,-1.2801167931109938e-16
Colombia,-0.540597864585853,-1.2155571191177916,0.5624558147117815,-0.3833060536434016,-1.0729820281550357,0.0473567696145811,-0.26023441258648333,-2.055467076015613e-06,-1.2169388985203622e-06,-7.114157587209011e-18
Croatia,-0.3547818486347536,-0.6108216902040849,0.6825564509267832,-0.35342255957374924,-0.8468082276244332,-0.18837177640254826,-0.04603252165062135,-1.5705085462219744e-06,-5.493181270347337e-07,7.588328197680122e-17
Cyprus,1.1784744682825883,-1.5731853698252452,3.145809471987108,0.2809230840335306,0.8724042557824083,1.3117854414565606,0.3226094056058765,-1.7833238854088173e-06,-7.72905464501946e-07,1.3300126038514444e-16
Czechia,-0.596259443408854,-0.6227159087490146,-1.9453454728739423,0.033532971589741126,1.4461826084582956,-0.017551933145416105,-0.037943601659521965,-4.944875341639849e-06,-4.063550427499057e-07,-2.0321726420172715e-16
Denmark,-2.082138969780772,-1.1329276527537377,0.9863655682085705,-0.025214546895406916,-1.0481152655114068,-0.20899532849793948,-0.41156542752444736,-1.1633026696349956e-05,2.779493515383304e-05,1.2250642778569222e-17
Ecuador,-0.6612962692288291,-1.5043183381850536,1.9886019898796494,-0.21808090730681645,-0.5450277666155584,1.3034107346631985,-0.12008532739951076,-3.7141736856029728e-06,3.9867752226136507e-07,3.8662173234913986e-17
Egypt,1.8851774163290222,-0.1692526933962998,0.29621344170984903,-1.090288040278362,-0.7243025423931437,-0.7107067457959239,0.297914259178331,1.3959527994691758e-06,-1.2783028240827697e-06,1.6091728848774892e-16
Estonia,0.3084146710012831,-0.6147275763088684,-1.560931567623415,2.3912743985838754,0.07360775223035346,0.07423989199810446,-0.19021819382976954,1.883441058776034e-06,4.097678294809897e-06,-1.517276936653308e-16
Finland,-3.963946986457243,-0.16412912106938551,-0.643457427346136,-0.6319428400617507,1.1335314886493035,0.17321609837385166,0.17044858244120484,-1.1538483600202286e-05,2.3154688850688432e-06,1.2131640653127148e-16
France,-2.51885271716267,-0.9190969445987488,-1.1207861034204412,-2.479447764130212,2.441209773131144,0.10174326834264841,0.14766398813329631,-1.360467397560786e-05,-4.472297644173914e-06,1.1106507247031496e-16
Germany,-0.33853177239006604,-0.5332104139199224,-0.03744394703966381,0.2990721404457194,-0.19966394863860432,-0.42804590258490005,-0.18298661103991248,-9.974825694119856e-07,-1.7382404097720937e-06,2.050680620572999e-16
Greece,0.15322121142907003,-0.5755335325832593,1.2290162556723112,0.004188860092098728,-0.27811789601560705,0.40125818471282765,0.06048447055159184,-1.2156116274982982e-06,1.0242896376047823e-07,1.4616748280282062e-17
Hong Kong,1.794247509831204,-0.9335710273158717,1.104319068380667,0.7045581116903216,0.6486263810228277,-0.1997177333184856,0.45159292096697345,1.0425586131202443e-06,3.5590181310576447e-07,-2.6243277067315685e-16
Hungary,-0.17613418463992866,-0.4215357332166866,-0.4647445915168458,-1.4540506311418222,0.855385455812788,-0.24037841704145269,0.17615298359162804,-5.2245813687739764e-06,-2.6269029411752826e-06,2.365687175644051e-16
Iceland,-8.700822043401672,5.183854477521489,0.6249448814814565,2.8135628445205936,-0.8416519383182235,0.11651392969347445,1.4063605769261986,-2.5663252225440545e-06,-4.183973084285959e-06,-2.0624530206375721e-16
India,0.9767339124245618,-1.9342050085991764,-1.704356805523384,1.7983849341123768,-0.11365327585291578,-0.019160110086453356,-0.102829766270695,-6.870111972481456e-06,3.3784204231203225e-05,-7.340360598554923e-17
Indonesia,1.0949164959331086,-1.669819171581338,-1.1387443798298482,1.2736042860553116,-0.3078228349258754,-0.2621525415793606,-0.11764162735792684,1.413367141503439e-06,1.6842359419530336e-06,3.040899382018174e-17
Iran,2.1680045756124,1.6950979390714842,-0.45947215493732446,-0.958516894502716,-0.6943378611693434,0.04752105373806661,0.20645275628545237,3.2514570432869843e-06,7.880467155821699e-07,-2.0056407242427392e-16
Iraq,2.064922555298698,-0.6290065615332405,1.9496982688352484,-0.32130603563250526,0.32988879069685556,0.884677931364012,0.5247221286050975,2.8424695361943435e-08,1.3066036217669932e-06,1.4116305490633973e-16
Ireland,0.06983410406018434,-0.4928463745229336,0.9758093500639705,-0.13065219820854054,-0.35646275927571147,-0.5763632100224839,0.014039319692656623,-6.181693399070442e-07,-2.416909381412831e-06,-3.2495154698045975e-17
Israel,1.429785526167733,0.03266689364706119,0.2554401945110114,0.17837492018239712,-0.03691656379349631,-0.6555147578146746,0.42292954936174554,9.37322700409388e-06,-2.8897545737998684e-05,-6.907434781435461e-17
Italy,0.5451290281454422,-0.22898262058230914,0.6105834259906904,-0.4066907670666308,-0.5506486569817126,-0.5312380255584481,0.0965489689809576,1.3029984174511294e-08,-1.393322282190776e-06,2.3389031652180206e-16
