country,iso_code,year,energy_per_capita,energy_per_gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,coal_share_energy,oil_share_energy,gas_share_energy,low_carbon_share_energy,electricity_demand_per_capita
Greece,GRC,2022,-0.32938912040747037,-0.20836336302582836,0.04484348601263712,0.20555918561664194,-0.5460672382030854,-0.46945354773216136,1.0915960341380382,-0.3848527760360025,-0.04484348601263673,-0.22532552902651587
Hong Kong,HKG,2022,-0.35771949954003623,-0.9003800055383104,1.075747441507007,-0.9535473231187861,-0.5460672382030854,0.3440241224235885,1.331746277138639,-0.3408906808935518,-1.0757474415070072,-0.05176497016669616
Hungary,HUN,2022,-0.39870500689143284,-0.512088395453854,-0.23308951363733438,-0.432286947606606,1.4812354515032986,-0.4978021975351203,-0.16499027716513326,0.3128024360897716,0.23308951363733524,-0.2753107923317173
Iceland,ISL,2022,3.3139801098563275,3.111172579628711,-3.609276874154796,4.314103604908908,-0.5460672382030854,-0.7061004839922828,-1.5125475836208786,-1.3297295652681365,3.609276874154797,6.588117391987161
India,IND,2022,-0.9429961671054001,-0.48350251004886347,0.5198237078905599,-0.40216679639394715,-0.3888958889669689,2.571199363422791,-0.710157037970779,-1.053579317140315,-0.5198237078905594,-0.810055708948238
Indonesia,IDN,2022,-0.8686472556604673,-0.6919412577935868,0.5399152500339313,-0.3510793847466139,-0.5460672382030854,1.8721571716293093,-0.504219799668864,-0.6438355177543664,-0.5399152500339308,-0.8195944802719713
Iran,IRN,2022,-0.09602798624278619,1.017256473713146,1.0383356044124534,-0.9415382111051182,-0.48195240587152427,-0.7946364399643747,-0.6357322165742164,1.9257418297142503,-1.0383356044124534,-0.40900612876793385
Iraq,IRQ,2022,-0.7208894857173941,-0.09163766428878337,1.0660480763343454,-0.9426417511279956,-0.5460672382030854,-0.8324142303065468,2.1806111355297277,-0.04833171116995033,-1.0660480763343452,-0.5411625885194958
Ireland,IRL,2022,-0.16228578926296264,-0.9063353983310168,0.008066726399626691,0.24690947941505523,-0.5460672382030854,-0.46584108479830694,0.5016689068768858,0.0065379156691170795,-0.008066726399626283,-0.026811162385937837
Israel,ISR,2022,-0.23313549241830017,-0.5382921237417622,0.8182523898994306,-0.6640303524109002,-0.5460672382030854,0.053986208564805876,0.11622875567608669,0.5466504308550625,-0.8182523898994304,0.12162374770523038
